ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
325.0,LAND ROVER,DEFENDER,Defender 90 2.4Td4 SW,Defender 90 2.4Td4 SW,LAND ROVER Defender 90 2.4Td4 SW,grau mét.,Kombi,2402,Zuzwil,266 g/km,Occasion,null,10.0 l/100km,3,Allrad,2,2011,Diesel,122,schwarz,50400,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Schaltgetriebe manuell
434.0,BMW,M5,M5,M5,BMW M5,grün mét.,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,8,2005,Benzin,503,schwarz,33600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
454.0,FERRARI,F355,F355 Spider,F355 Spider,FERRARI F355 Spider,rot,Cabriolet,3496,Zuzwil,null,Occasion,null,20.8 l/100km,2,Hinterradantrieb,10,1998,Benzin,380,null,67000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
489.0,PORSCHE,911,911 GT3 CS,GT3 CS,PORSCHE 911 GT3 CS,rot,Coupé,3600,Zuzwil,null,Occasion,null,null,2,null,1,2001,Benzin,370,schwarz,21100,"\"Ab MFK\"",2,null
497.0,AUDI,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,rot,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,9,2010,Benzin,580,null,38000,"\"Ab MFK\"",5,Automat
56.0,AUDI,RS4,RS4 Avant quattro,RS4 Avant quattro,AUDI RS4 Avant quattro,blau,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,3,2001,Benzin,380,weiss,50000,"\"Ab MFK\"",5,Schaltgetriebe manuell
578.0,BENTLEY,ARNAGE,Arnage Red Label,Arnage Red Label,BENTLEY Arnage Red Label,schwarz,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,2,2000,Benzin,405,braun,111600,"\"Ab MFK\"",5,Automat
58.0,MERCEDES-BENZ,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,blau,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,6,2003,Benzin,600,schwarz,77700,"\"Ab MFK\"",2,Automat
599.0,MERCEDES-BENZ,SL 55 AMG,SL 55 AMG,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,schwarz,Cabriolet,5439,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,2,Hinterradantrieb,3,2006,Benzin,517,schwarz,49000,"\"Ab MFK\"",2,Automat sequentiell
624.0,MERCEDES-BENZ,CLS 500,CLS 500,CLS 500,MERCEDES-BENZ CLS 500,schwarz mét.,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,schwarz,21300,"\"Ab MFK\"",4,Automat sequentiell
