carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Cabriolet,Grey,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Austin-healey,1960,9999,"","",BT7 3000 Mk I,"","","",1,null
Limousine,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1987,195800,"",M3,M3,"","","",2,null
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,20900,"",SL 600,SL 600,"","","",5,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2008,25700,"",135,135i,"","","",10,l_km_consumption
Kombi,Black,Occasion,"",Automat,Zuzwil,"",Audi,1997,91900,"",S6,S6 Avant quattro 4.2,"","","",6,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Honda,1998,186000,"",ACCORD,Accord Coupé V6 3.0i VTEC,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,8000,"",SL 500,SL 500,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1979,157400,"","",323 i E21,"","","",5,null
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,22400,"",CL 600,CL 600,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,48300,"",CL 55 AMG,CL 55 AMG,"","","",11,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1970,57700,"",Alpine A110,1600S,"","","",3,null
Limousine,Other,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,67400,"",E 50 AMG,E 50 AMG Avantgarde,"","","",3,l_km_consumption
Cabriolet,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2003,78300,"",SPYDER GT,Spyder GT,"","","",5,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1991,91600,"",500,500 SE,"","","",8,null
Coupé,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,26800,"",S 600,S 600,"","","",8,null
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2005,20400,"",911,911 Carrera Cabrio,"","","",6,l_km_consumption
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,47400,"",E 55 AMG,E 55 AMG Avantgarde,"","","",3,l_km_consumption
Coupé,Grey,Occasion,"",Automat,Zuzwil,"",Porsche,2001,135800,"",911,911 Carrera,"","","",4,l_km_consumption
Kleinwagen,Grey,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Renault,1969,45000,"","",R8 Gordini,"","","",4,null
SUV / Geländewagen,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Lincoln,2003,130000,"",Navigator,32 V,"","","",3,null
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Jaguar,2000,44200,"",S-TYPE,S-Type 4.0 V8,"","","",1,l_km_consumption
Coupé,Black,Oldtimer,"",null,Basel,"",Rolls-royce,1980,32000,"",CORNICHE,II Coupé,"","","",7,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,74500,"",S 500,S 500 L,"","","",5,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Land Rover,1994,87000,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",11,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2010,29800,"",E 250,E 250 CGI BlueEff Avgarde,"","","",6,l_km_consumption
Coupé,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",Chevrolet,1967,21300,"",CORVETTE,C2,"","","",6,null
Limousine,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2013,23900,"",E 63 AMG,E 63 AMG S 4Matic,"","","",7,l_km_consumption
Cabriolet,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1990,27700,"",Z1,null,"","","",2,null
Limousine,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2006,46050,"",QUATTROPORTE,Quattroporte 4.2,"","","",6,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat,Zuzwil,"",Land Rover,1996,54600,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",12,l_km_consumption
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,36700,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,36000,"",CLK 63 AMG,CLK 63 AMG Black Series,"","","",7,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,2011,13800,"",SLK 200,SLK 200,"","","",5,l_km_consumption
Cabriolet,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2003,103600,"",Z4,Z4 2.5i Roadster,"","","",3,l_km_consumption
Cabriolet,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,2000,43200,"",SLK 320,SLK 320,"","","",5,l_km_consumption
Kombi,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2005,140200,"",E 350,E 350 Elégance 4Matic,"","","",4,l_km_consumption
Limousine,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1999,29800,"",M5,M5,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1998,34600,"",F355,F355 Spider,"","","",7,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1960,177000,"","",DAUPHINE GORDINI,"","","",7,null
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2007,50900,"",CONTINENTAL,Continental GTC 6.0,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,34500,"",SL 55 AMG,SL 55 AMG,"","","",8,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lotus,2001,75100,"",ELISE,Elise,"","","",6,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2003,85200,"",911,911 Turbo,"","","",6,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2003,21800,"",X5,X5 4.6is,"","","",6,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Toyota,1979,240500,"",LAND CRUISER,BJ 40 LT,"","","",7,null
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2005,27800,"",M5,M5,"","","",4,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2002,52400,"",E 55 AMG,E 55 AMG Avantgarde,"","","",10,l_km_consumption
Pick-up,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Chevrolet,2007,34500,"",Silverado,2500HD 6.6l V8,"","","",2,null
Coupé,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",Bugatti,1998,4000,"",EB,110 GT/SS,"","","",8,null
Kleinwagen,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Fiat,2004,75200,"",PUNTO,Punto 1.8 16V HGT,"","","",5,l_km_consumption
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2003,119000,"",PHAETON,Phaeton 4.2 V8 4Motion,"","","",11,l_km_consumption
Cabriolet,Green,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2008,62700,"",SL 63 AMG,SL 63 AMG,"","","",6,l_km_consumption
Coupé,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,99500,"",S 600,S 600,"","","",4,null
Coupé,Orange,Occasion,"",Schaltgetriebe,Porrentruy,"",Lamborghini,1996,7000,"",DIABLO,SV-R Race,"","","",0,null
Cabriolet,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1990,148600,"",944,944 S2 Cabriolet ABS,"","","",4,null
Limousine,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Bentley,1986,101500,"",Mulsanne,Turbo,"","","",9,null
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,41100,"",CL 600,CL 600,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1990,23800,"",SL 500,SL 500,"","","",7,null
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2012,19400,"",SLK 55 AMG,SLK 55 AMG,"","","",9,l_km_consumption
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,29300,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",6,l_km_consumption
Kombi,Silver,Occasion,"",Automat,Zuzwil,"",Audi,2003,34000,"",RS6,RS6 Avant quattro,"","","",3,l_km_consumption
Limousine,Silver,Vorführmodell,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,100,"",E 320,E 320 CDI Avantgarde,"","","",6,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,68100,"",911,911 Carrera 4 S,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,1997,69600,"",750,750i,"","","",3,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,2003,9000,"",MURCIÉLAGO,Murciélago 6.2 Coupé,"","","",2,l_km_consumption
SUV / Geländewagen,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2003,115000,"",CAYENNE,Cayenne S,"","","",3,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,14500,"",SL 600,SL 600,"","","",4,l_km_consumption
Cabriolet,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2008,2400,"",SLR,McLaren Roadster,"","","",6,null
Coupé,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Chevrolet,1981,27700,"",CORVETTE,null,"","","",1,null
Limousine,Other,Occasion,"",Automat,Zuzwil,"",Audi,1997,125400,"",A8,A8 4.2 quattro,"","","",9,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1992,129700,"",SL 500,SL 500,"","","",2,null
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2008,58900,"",QUATTROPORTE,Quattroporte 4.2 Sport GT,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1985,97000,"",SL-CLASS,500 SL,"","","",5,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2000,33000,"","",CL 5.8 BRABUS,"","","",1,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2002,36000,"",ARNAGE,Arnage T,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,45200,"",SL 55 AMG,SL 55 AMG,"","","",2,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,1999,33900,"",735,735i,"","","",8,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1999,68500,"",M5,M5,"","","",1,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2004,88000,"",M3,M3 CSL,"","","",7,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Nissan,1992,98000,"",SUNNY,Sunny 2.0 16V GTI-R,"","","",2,null
Cabriolet,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2004,21400,"",911,911 Turbo Cabrio,"","","",9,l_km_consumption
Cabriolet,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,81000,"",SL 55 AMG,SL 55 AMG,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,1997,123400,"",C 230,C 230 Elégance,"","","",2,l_km_consumption
Cabriolet,Grey,Oldtimer,"",Schaltgetriebe manuell,Safenwil,"",Austin-healey,1959,16900,"","",100/Six BN6 Roadster,"","","",1,null
Cabriolet,Grey,Occasion,"",null,Zuzwil,"",Lotus,2002,26800,"",Super Seven,HKT,"","","",9,null
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,1995,64800,"",DIABLO,Diablo SE 30,"","","",9,null
Limousine,Green,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,118300,"",CLS 55 AMG,CLS 55 AMG,"","","",2,l_km_consumption
Coupé,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",Ford (usa),2012,92000,"",MUSTANG,Shelby GT500,"","","",3,null
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Lotus,1969,62200,"",EUROPA,null,"","","",3,null
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,38500,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",5,l_km_consumption
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Rolls-royce,1983,99300,"",Silver Spirit,Mk. I,"","","",4,null
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Land Rover,2010,15000,"",RANGE ROVER SPORT,Range Rover Sport 5.0 V8 SC,"","","",9,l_km_consumption
Limousine,Black,Occasion,"",null,Zuzwil,"",BMW,1973,129800,"",3.0,CSL,"","","",1,null
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2016,2100,"",HURACAN,Huracan LP610-4 Coupé,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2004,113800,"",612,612,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,61000,"",CLK 320,CLK 320 Sport,"","","",6,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,21400,"",SL 55 AMG,SL 55 AMG,"","","",4,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2000,62300,"",M5,M5,"","","",8,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2004,79100,"",645,645i,"","","",1,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2006,101200,"",911,911 Carrera 4S,"","","",2,l_km_consumption
Limousine,Other,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,32000,"",S 500,S 500,"","","",10,l_km_consumption
Coupé,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2002,95300,"",COUPÉ GT,Coupé GT,"","","",7,l_km_consumption
SUV / Geländewagen,White,Neu,"",Automat sequentiell,Zuzwil,"",Porsche,2007,10,"",CAYENNE,Cayenne Turbo,"","","",1,l_km_consumption
Limousine,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2009,30300,"",PANAMERA,Panamera Turbo 4.8,"","","",9,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,1990,162000,"",190,190 E 2.5-16 ABS,"","","",10,null
SUV / Geländewagen,Other,Occasion,"",Automat,Zuzwil,"",Land Rover,2007,99900,"",RANGE ROVER,Range Rover 3.6 d HSE,"","","",2,l_km_consumption
Cabriolet,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1999,34400,"",911,911 Carrera Cabrio,"","","",1,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2003,68700,"",CAYENNE,Cayenne Turbo,"","","",6,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2004,31000,"",CAYENNE,Cayenne Turbo,"","","",9,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",Dodge,1994,37900,"",VIPER,null,"","","",4,null
Coupé,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1981,153600,"",ALPINE,Alpine A310 V6,"","","",5,null
Limousine,Green,Occasion,"",Automat,Zuzwil,"",BMW,2007,114600,"",730,730i,"","","",9,l_km_consumption
Cabriolet,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Saab,2003,138000,"",9-3,9-3 2.0i-16 T SE,"","","",5,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2006,43700,"",C 350,C 350 Elégance 4Matic,"","","",11,l_km_consumption
Kombi,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,71900,"",RS6,RS6 Avant quattro,"","","",9,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,1995,111900,"",750,750iL,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2006,24300,"",QUATTROPORTE,Quattroporte 4.2 Sport GT,"","","",10,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2001,79500,"",330,330Ci,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Nissan,2002,15000,"",Skyline,Rennwagen,"","","",1,null
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2004,48300,"",CL 65 AMG,CL 65 AMG,"","","",2,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Kaiser,1966,18000,"","",CJ-5 12V ARMEEFAHRZEUG,"","","",9,null
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Talbot,1982,40100,"","",Sunbeam Lotus,"","","",3,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2012,500,"",C 63 AMG,BLACK SERIES,"","","",3,null
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Volvo,2001,145000,"",S60,S60 2.4T,"","","",4,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,35100,"",A8,A8 4.2 quattro,"","","",8,l_km_consumption
SUV / Geländewagen,White,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,37500,"",ML 500,ML 500 4Matic,"","","",12,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2003,37800,"",PHAETON,Phaeton 6.0 W12 4Motion,"","","",1,l_km_consumption
Limousine,White,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2005,48300,"",PHAETON,Phaeton 3.0 TDi V6 4M,"","","",6,l_km_consumption
Limousine,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2003,106000,"",E 240,E 240 Avantgarde,"","","",3,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Volvo,2001,27900,"",C70,C70 T5,"","","",2,l_km_consumption
Kombi,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2001,37800,"",RS4,RS4 Avant quattro,"","","",2,l_km_consumption
Cabriolet,Purple,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,63600,"",SL 300,SL 300,"","","",6,null
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2006,29500,"",911,911 Carrera S Cabrio,"","","",3,l_km_consumption
Coupé,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2004,45000,"",612,612,"","","",7,l_km_consumption
Coupé,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2000,41500,"",F360,F360 Modena Berlinetta,"","","",4,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,45500,"",SL 55 AMG,SL 55 AMG,"","","",4,l_km_consumption
Cabriolet,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2011,4900,"",GALLARDO,Gallardo LP560-4 Spyder,"","","",4,l_km_consumption
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,36800,"",SL 55 AMG,SL 55 AMG,"","","",5,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2002,29000,"",911,911 Turbo,"","","",1,l_km_consumption
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Jaguar,2002,77600,"",XK,XKR S/C Convertible,"","","",4,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2000,3600,"",X5,X5 4.4i,"","","",12,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2004,54100,"",911,911 GT2,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Opel,2006,90600,"",VECTRA,Vectra 2.8 T V6 Cosmo,"","","",5,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2002,23800,"",X5,X5 4.6is,"","","",2,l_km_consumption
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2002,23200,"",COUPÉ GT,Coupé GT,"","","",10,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1982,31000,"",ALPINE,Alpine A310 V6,"","","",10,null
Kleinwagen,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,2008,147900,"",CLIO,Clio 2.0 16V Sport,"","","",2,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2002,23900,"",M3,M3,"","","",11,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2000,41900,"",X5,X5 4.4i,"","","",11,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1974,97100,"",2002,Turbo,"","","",3,null
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1992,123000,"",911,911 Carrera 2 RS,"","","",1,null
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",VW,2007,87000,"",GOLF,Golf 2.0 TFSI GTI,"","","",2,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,74400,"",SL 500,SL 500,"","","",6,l_km_consumption
Coupé,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,94000,"",CL 600,CL 600,"","","",11,l_km_consumption
Kombi,White,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2009,31500,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",1,l_km_consumption
Coupé,White,Occasion,"",Automat,Zuzwil,"",Jaguar,1999,103000,"",XK,XKR S/C,"","","",11,l_km_consumption
Limousine,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1998,39700,"",M5,M5,"","","",10,l_km_consumption
SUV / Geländewagen,Blue,Occasion,"",Automat,Zuzwil,"",Land Rover,1998,49700,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",5,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW-alpina,1984,150200,"",7 SERIES,B7 Turbo Coupé,"","","",4,null
Cabriolet,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2002,142000,"",M3,M3,"","","",3,l_km_consumption
Coupé,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Aston Martin,1991,68800,"",Virage,Virage,"","","",4,null
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,1997,66300,"",A8,A8 4.2 quattro,"","","",1,l_km_consumption
Limousine,Green,Occasion,"",Automat sequentiell,Porrentruy,"",Mercedes-benz,2011,19900,"",S 500,S 500 L,"","","",9,l_km_consumption
Coupé,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2003,14500,"",575M,NOVITEC,"","","",6,null
Limousine,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Trabant,2009,999,"","",1300S Trabusa,"","","",1,null
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2003,94500,"",760,760i L,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Ford,1973,36100,"",CAPRI,RS 2600,"","","",3,null
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,44000,"",A8,A8 4.2 quattro,"","","",12,l_km_consumption
Kombi,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2001,72600,"",RS4,RS4 Avant quattro,"","","",2,l_km_consumption
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,45000,"",CLK 63 AMG,CLK 63 AMG Black Series,"","","",6,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,38200,"",911,911 GT2,"","","",5,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2009,34000,"",SL 65 AMG,BLACK SERIES,"","","",7,null
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Rolls-royce,2001,38000,"",CORNICHE,Corniche,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mclaren,2012,19900,"",12C,MP4-12C Coupé 3.8 V8,"","","",4,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1974,93500,"",2002,tii,"","","",4,null
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2006,31500,"",M5,M5,"","","",6,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,94000,"",S 65 AMG,S 65 AMG L,"","","",1,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2010,20800,"",MURCIÉLAGO,Murciélago LP670-4 SV Cpé,"","","",5,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,156800,"",SL 320,SL 320,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lamborghini,1993,14990,"",DIABLO,Diablo 5.7 VT,"","","",8,null
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1969,9999,"",Alpine A110,1300S,"","","",9,null
Kombi,Blue,Occasion,"",Automat,Zuzwil,"",Audi,2002,39300,"",RS6,RS6 Avant quattro,"","","",8,l_km_consumption
Coupé,Yellow,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2000,64600,"",3200 GT,3200 GT,"","","",3,l_km_consumption
